,data_fine,data_inizio,index,livello,regione,zona
0,2020-11-22 00:00:00.000000,2020-11-10 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-11 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-12 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-13 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-14 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-15 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-16 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-17 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-18 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-19 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-20 00:00:00.000000,14.0,regionale,Abruzzo,arancione
0,2020-11-22 00:00:00.000000,2020-11-21 00:00:00.000000,14.0,regionale,Abruzzo,arancione
1,2020-12-06 00:00:00.000000,2020-11-22 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-23 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-24 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-25 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-26 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-27 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-28 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-29 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-11-30 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-12-01 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-12-02 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-12-03 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-12-04 00:00:00.000000,28.0,regionale,Abruzzo,rossa
1,2020-12-06 00:00:00.000000,2020-12-05 00:00:00.000000,28.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-06 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-07 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-08 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-09 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-10 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-11 00:00:00.000000,44.0,regionale,Abruzzo,rossa
2,2020-12-13 00:00:00.000000,2020-12-12 00:00:00.000000,44.0,regionale,Abruzzo,rossa
3,2020-12-24 00:00:00.000000,2020-12-13 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-14 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-15 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-16 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-17 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-18 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-19 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-20 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-21 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-22 00:00:00.000000,58.0,regionale,Abruzzo,arancione
3,2020-12-24 00:00:00.000000,2020-12-23 00:00:00.000000,58.0,regionale,Abruzzo,arancione
4,2020-12-28 00:00:00.000000,2020-12-24 00:00:00.000000,67.0,nazionale,Abruzzo,rossa
4,2020-12-28 00:00:00.000000,2020-12-25 00:00:00.000000,67.0,nazionale,Abruzzo,rossa
4,2020-12-28 00:00:00.000000,2020-12-26 00:00:00.000000,67.0,nazionale,Abruzzo,rossa
4,2020-12-28 00:00:00.000000,2020-12-27 00:00:00.000000,67.0,nazionale,Abruzzo,rossa
5,2020-12-31 00:00:00.000000,2020-12-28 00:00:00.000000,70.0,nazionale,Abruzzo,arancione
5,2020-12-31 00:00:00.000000,2020-12-29 00:00:00.000000,70.0,nazionale,Abruzzo,arancione
5,2020-12-31 00:00:00.000000,2020-12-30 00:00:00.000000,70.0,nazionale,Abruzzo,arancione
6,2021-01-04 00:00:00.000000,2020-12-31 00:00:00.000000,68.0,nazionale,Abruzzo,rossa
6,2021-01-04 00:00:00.000000,2021-01-01 00:00:00.000000,68.0,nazionale,Abruzzo,rossa
6,2021-01-04 00:00:00.000000,2021-01-02 00:00:00.000000,68.0,nazionale,Abruzzo,rossa
6,2021-01-04 00:00:00.000000,2021-01-03 00:00:00.000000,68.0,nazionale,Abruzzo,rossa
7,2021-01-05 00:00:00.000000,2021-01-04 00:00:00.000000,71.0,nazionale,Abruzzo,arancione
8,2021-01-07 00:00:00.000000,2021-01-05 00:00:00.000000,69.0,nazionale,Abruzzo,rossa
8,2021-01-07 00:00:00.000000,2021-01-06 00:00:00.000000,69.0,nazionale,Abruzzo,rossa
9,2021-01-09 00:00:00.000000,2021-01-07 00:00:00.000000,72.0,nazionale,Abruzzo,gialla
9,2021-01-09 00:00:00.000000,2021-01-08 00:00:00.000000,72.0,nazionale,Abruzzo,gialla
10,2021-01-10 00:00:00.000000,2021-01-09 00:00:00.000000,73.0,nazionale,Abruzzo,arancione
11,2021-01-17 00:00:00.000000,2021-01-10 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-11 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-12 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-13 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-14 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-15 00:00:00.000000,83.0,regionale,Abruzzo,gialla
11,2021-01-17 00:00:00.000000,2021-01-16 00:00:00.000000,83.0,regionale,Abruzzo,gialla
12,2021-02-01 00:00:00.000000,2021-01-17 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-18 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-19 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-20 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-21 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-22 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-23 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-24 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-25 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-26 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-27 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-28 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-29 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-30 00:00:00.000000,105.0,regionale,Abruzzo,arancione
12,2021-02-01 00:00:00.000000,2021-01-31 00:00:00.000000,105.0,regionale,Abruzzo,arancione
13,2021-02-14 00:00:00.000000,2021-02-01 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-02 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-03 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-04 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-05 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-06 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-07 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-08 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-09 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-10 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-11 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-12 00:00:00.000000,125.0,regionale,Abruzzo,gialla
13,2021-02-14 00:00:00.000000,2021-02-13 00:00:00.000000,125.0,regionale,Abruzzo,gialla
14,2021-03-01 00:00:00.000000,2021-02-14 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-15 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-16 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-17 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-18 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-19 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-20 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-21 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-22 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-23 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-24 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-25 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-26 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-27 00:00:00.000000,141.0,regionale,Abruzzo,arancione
14,2021-03-01 00:00:00.000000,2021-02-28 00:00:00.000000,141.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-01 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-02 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-03 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-04 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-05 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-06 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-07 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-08 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-09 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-10 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-11 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-12 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-13 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-14 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-15 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-16 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-17 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-18 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-19 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-20 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-21 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-22 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-23 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-24 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-25 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-26 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-27 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-28 00:00:00.000000,150.0,regionale,Abruzzo,arancione
15,2021-03-29 00:00:00.000000,2021-03-29 00:00:00.000000,150.0,regionale,Abruzzo,arancione
0,2020-11-24 00:00:00.000000,2020-11-10 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-11 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-12 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-13 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-14 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-15 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-16 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-17 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-18 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-19 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-20 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-21 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-22 00:00:00.000000,17.0,regionale,Basilicata,arancione
0,2020-11-24 00:00:00.000000,2020-11-23 00:00:00.000000,17.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-24 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-25 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-26 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-27 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-28 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-29 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-11-30 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-12-01 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-12-02 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-12-03 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-12-04 00:00:00.000000,32.0,regionale,Basilicata,arancione
1,2020-12-06 00:00:00.000000,2020-12-05 00:00:00.000000,32.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-06 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-07 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-08 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-09 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-10 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-11 00:00:00.000000,45.0,regionale,Basilicata,arancione
2,2020-12-13 00:00:00.000000,2020-12-12 00:00:00.000000,45.0,regionale,Basilicata,arancione
3,2020-12-24 00:00:00.000000,2020-12-13 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-14 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-15 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-16 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-17 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-18 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-19 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-20 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-21 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-22 00:00:00.000000,59.0,regionale,Basilicata,gialla
3,2020-12-24 00:00:00.000000,2020-12-23 00:00:00.000000,59.0,regionale,Basilicata,gialla
4,2020-12-28 00:00:00.000000,2020-12-24 00:00:00.000000,67.0,nazionale,Basilicata,rossa
4,2020-12-28 00:00:00.000000,2020-12-25 00:00:00.000000,67.0,nazionale,Basilicata,rossa
4,2020-12-28 00:00:00.000000,2020-12-26 00:00:00.000000,67.0,nazionale,Basilicata,rossa
4,2020-12-28 00:00:00.000000,2020-12-27 00:00:00.000000,67.0,nazionale,Basilicata,rossa
5,2020-12-31 00:00:00.000000,2020-12-28 00:00:00.000000,70.0,nazionale,Basilicata,arancione
5,2020-12-31 00:00:00.000000,2020-12-29 00:00:00.000000,70.0,nazionale,Basilicata,arancione
5,2020-12-31 00:00:00.000000,2020-12-30 00:00:00.000000,70.0,nazionale,Basilicata,arancione
6,2021-01-04 00:00:00.000000,2020-12-31 00:00:00.000000,68.0,nazionale,Basilicata,rossa
6,2021-01-04 00:00:00.000000,2021-01-01 00:00:00.000000,68.0,nazionale,Basilicata,rossa
6,2021-01-04 00:00:00.000000,2021-01-02 00:00:00.000000,68.0,nazionale,Basilicata,rossa
6,2021-01-04 00:00:00.000000,2021-01-03 00:00:00.000000,68.0,nazionale,Basilicata,rossa
7,2021-01-05 00:00:00.000000,2021-01-04 00:00:00.000000,71.0,nazionale,Basilicata,arancione
8,2021-01-07 00:00:00.000000,2021-01-05 00:00:00.000000,69.0,nazionale,Basilicata,rossa
8,2021-01-07 00:00:00.000000,2021-01-06 00:00:00.000000,69.0,nazionale,Basilicata,rossa
9,2021-01-09 00:00:00.000000,2021-01-07 00:00:00.000000,72.0,nazionale,Basilicata,gialla
9,2021-01-09 00:00:00.000000,2021-01-08 00:00:00.000000,72.0,nazionale,Basilicata,gialla
10,2021-01-10 00:00:00.000000,2021-01-09 00:00:00.000000,73.0,nazionale,Basilicata,arancione
11,2021-01-16 00:00:00.000000,2021-01-10 00:00:00.000000,84.0,regionale,Basilicata,gialla
